IPO Name: Vedant Asset Ltd. IPO, Issue Size: 0.0, Price: 40.0, Status: listed, Scraped At: 2026-01-05 07:25:52.355151
IPO Name: Phantom Digital Effects Ltd. IPO, Issue Size: 0.0, Price: 95.0, Status: listed, Scraped At: 2026-01-05 07:25:52.354755
IPO Name: Rite Zone Chemcon India Ltd. IPO, Issue Size: 0.0, Price: 75.0, Status: listed, Scraped At: 2026-01-05 07:25:52.354278
IPO Name: Integrated Personnel Services Ltd. IPO, Issue Size: 0.0, Price: 59.0, Status: listed, Scraped At: 2026-01-05 07:25:52.311758
IPO Name: DAPS Advertising Ltd. IPO, Issue Size: 0.0, Price: 30.0, Status: listed, Scraped At: 2026-01-05 07:25:52.311365
IPO Name: Vital Chemtech Ltd. IPO, Issue Size: 0.0, Price: 101.0, Status: listed, Scraped At: 2026-01-05 07:25:52.311009
IPO Name: Amiable Logistics (India) Ltd. IPO, Issue Size: 0.0, Price: 81.0, Status: listed, Scraped At: 2026-01-05 07:25:52.310669
IPO Name: Technopack Polymers Ltd. IPO, Issue Size: 0.0, Price: 55.0, Status: listed, Scraped At: 2026-01-05 07:25:52.310320
IPO Name: Aether Industries Ltd. IPO, Issue Size: 0.0, Price: 642.0, Status: listed, Scraped At: 2026-01-05 07:25:35.279886
IPO Name: Syrma SGS Technology Ltd. IPO, Issue Size: 0.0, Price: 220.0, Status: listed, Scraped At: 2026-01-05 07:25:35.279539
IPO Name: Dreamfolks Services Ltd. IPO, Issue Size: 0.0, Price: 326.0, Status: listed, Scraped At: 2026-01-05 07:25:35.279164
IPO Name: Tamilnad Mercantile Bank Ltd. IPO, Issue Size: 0.0, Price: 510.0, Status: listed, Scraped At: 2026-01-05 07:25:35.278816
IPO Name: Harsha Engineers International Ltd. IPO, Issue Size: 0.0, Price: 330.0, Status: listed, Scraped At: 2026-01-05 07:25:35.278470
IPO Name: Electronics Mart India Ltd. IPO, Issue Size: 0.0, Price: 59.0, Status: listed, Scraped At: 2026-01-05 07:25:35.278083
IPO Name: Tracxn Technologies Ltd. IPO, Issue Size: 0.0, Price: 80.0, Status: listed, Scraped At: 2026-01-05 07:25:35.277741
IPO Name: DCX Systems Ltd. IPO, Issue Size: 0.0, Price: 207.0, Status: listed, Scraped At: 2026-01-05 07:25:35.277386
IPO Name: Fusion Micro Finance Ltd. IPO, Issue Size: 0.0, Price: 368.0, Status: listed, Scraped At: 2026-01-05 07:25:35.276994
IPO Name: Global Health Ltd. IPO, Issue Size: 0.0, Price: 336.0, Status: listed, Scraped At: 2026-01-05 07:25:35.276636
